content,target
좆같은 새끼가 조카가 뼈빠지게 지사업 부도 안내려고 목숨걸고 뚸댕기는데 바로 집에서 술이나 쳐먹고,1
니는 내가 끝까지 용서ㅡ안할거야 그냥 지옥에 쳐막혀버려 이개새끼야,1
윤항문 새끼가 헛지랄해서 합격 시켜준꼴임ㅇㅇ,1
지구촌갤 병신들 지구촌갤 병신들 지구촌갤 병신들 ㅋㅋ,1
사회나오면 걍 병장만기제대로 퉁치는데 거기서 포상을받네 표창을받네 다 좆도의미없단 걸 전역할 때 깨닫더라,1
군대 안가본 새끼가 쓴 망상글,1
하여튼 가방끈 짧은 새끼들일수록 양심도 애미가 터졌음,1
도태도태 아가리병신같이 털면서 군대도 안 가놓고 관심법쓰고 다 넘겨짚는 주제에 대단한듯 나서는 익명2번같은 피싸개가 제일 문제임,1
댓글로도 피질질싸는년이 익명의 군대에이스 알파남행세하면서 올라타려는게 이슬람이 왜 명예살인하는지 알 것 같다니깐?,1
댓글 진짜 븅신새기들같네 엄마가 얼마나 대단한건데 시간을 버리는게 아니야~라고 해줘야 노예가 양산되는거다,1
한국엔 이상한씨발년놈들이 너무 많다..,1
애새끼 스마트폰으로 유튜브나 학습지 존나 뺑뺑이 돌리며,1
부모가 좆같이못생겨서 애가 좆같이 생겻나보네 좆같이생긴애를 하루종일 쳐다보고있으면 현타가 안올수가없지 ㅋㅋ,1
그거 1년 365일 매일하면 ㅈㄴ질리고 똑같고 공장 반복작업하고 다를게 없겠지,1
한남충들이 못생겼기 때문에 애초에 감정이 생기지 않음,1
직업없는데 돈까지없으면 애비도그렇지만 자식까지 애미무시함 지금이라도 걍 지랄말고 빨리 직장잡는게나음ㅇㅇ,1
좆대남들도 지들이 능력없는건데 사회탓하며 징징거리잖아,1
한남충들 월급 벌어온다고 생색내잖아 주부하다보면 도태되는 기분 어쩔수없지,1
그럼 니가 돈처벌어 씨발년아. 군대도 못가는 장애성별년이,1
정말 육아+내조+집안일 좆빠지게하면 저딴 생각 들수가없고 공부?ㅋㅋㅋ 개소리하네,1
아 아니면 한녀아가리랑 다르게 애보는거랑 집안일이 개좆밥인가?ㅋㅋ,1
무슨 씨발 밥차리고 집안일하고 애보는데 하루가 다가노 다가긴 지랄을 하고 있노ㅋㅋㅋㅋ,1
자취 경험 있는 새끼는 알겠지만 집안일이라는 게 진짜 개좆도 별 거 없음 애보기 힘든 건 인정인데 그걸 또 뭔 하루종일했겠노?존나 유난떠는 거지ㅋㅋㅋㅋ,1
개좆같은 씨발년이네,1
씨발련이,1
이 개 좆같은년아 씨발년아,1
겨드랑이 점 빨아먹고싶네ㅆㅂ,1
한녀새끼들 망상 수준 ㅋㅋㅋㅋㅋ 역시 싱벙갤 한녀충들 못 말린다니까 ㅋㅋㅋㅋㅋ 알페스나 보러가 형냐,1
싱벙갤 애미뒤졌으면개추,1
보릉내 좆될듯 킁카킁카,1
개좆소 생산직이라 저런 거 없다 컄ㅋㅋ,1
이런년이면 평생직장이지 시발,1
좆같은 련이네,1
똥꼬 헐때까지 잘빨아줘야함,1
팩트인데 짤은 관계없고 저런 캐릭터 대신에 뭔 검버섯 핀 늙다리 노괴년이 있다는거임,1
짤이랑 관계없이 개 씨발아줌마가 저럼,1
짤없이 글만보면 진짜 이렇게 ㅈ같을수가 없다,1
이거 야애니에서 보던 캐릭턴데 씨발ㅋㅋㅋ 아닌가,1
ㅂㅅ이딴거 보면서 추잡한 욕망 품는게 도태한남스럽노,1
한남의 성욕은 진짜 레전드다ㅅㅂ,1
ㅅㅂ 상상만 해도 끔찍하네ㅋㅋ 이세계전생 보정해주겟지,1
현실 못생긴 노괴 한녀 아줌마 끝,1
저런년들 김치끼 존나 오질듯 취집에 목숨걸듯 ㅋㅋ,1
와씹 미친 개고수네 퀄미쳤는데,1
개씹고수네 이렇게잘하면서왜...,1
밐구만두 개귀엽네ㅋㅋ,1
아니 개고수잔아,1
아니 씹고수 뭔데,1
옛날이었으면 힛갤갔을텐데 병신같은 실베를 만들고 힛갤을 쳐없앴네 ㅋㅋ,1
이런거 일본애들이 좀 봐주면 안되냐 존나감동할거같은데,1
옛날이었으면 힛갤갔을텐데 병신같은 실베를 만들고 힛갤을 쳐없앴네 ㅋㅋ,1
개무섭네 근데 돈코츠는 돼지꾸렁네안나나??,1
대가리 반가르는거 ㅈㄴ 잔인하네,1
듣고보니 씨발이네 아주ㅋㅋ,1
그건 아님 그냥 저렇게 처먹는 문화가 있더라.. 그것도 존나 오래됨,1
"씹죠센: 현실, 엽기소아성범죄 실재",1
춍랜드 춍숭이 << 개ㅈ거지들밖에 없음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 춍숭이 오열 ㅋㅋㅋ캌ㅋㅋㅋㅋ,1
개똥센 = 마이너스 성장 따이이잇 ㅋㅋㅋㅋ 내수붕괴 따따잇ㅋㅋㅋㅋ,1
북한 하나 못뚫어서 분단에 갇혀사는 불쌍한 몽고잡종ㅋㅋ 센몽숭,1
원종아 동조센은 완벽해서 애초에 저런짓은 없다면서 이제와선 개선하니까 선진국이라고 쳐 빨고있노 ㅋㅋㅋㅋㅋㅋㅋㅋ 애미터졌노,1
지들도 버닝썬같은 굵직한 사건 얘기하면서 꼽주면 면상 시뻘개져서 화낼거면서 방송에서 남의나라 치부 들추면서 일본은 참 대단한나라다~ 이지랄 ㅋㅋㅋ,1
계집년들은 원래 저렇게 다루는게 맞다 ㅋㅋ 근본있는 나라는 다르네 ㅇㅇ,1
초딩 콜걸은 유야무야 넘어가고 방구석 2d 로 딸 잡는 한남은 페도 닭장할거 없이 패는 개조센이 웃을 일이노?,1
"중국에서 몸캠 당하고, 송트남 보짓털? ㅋㅋㅋ",1
한남들이 일본을 부러워하는 이유 - 치한 성추행은 기본 어릴때부터 강간당해도 신고하는 여자가 이상한거라고 세뇌하는 등 여성인권이 씹창나서 여자 후리고 다니기 쉬움,1
정치 관료들 개지랄 떠는 건 어느나라나 마찬가진데 일본 어쩌고 호들갑 웃기긴 함 ㅋ,1
한국은 돈없는 개돼지들만 유흥못하지 ㅇㅇ,1
저게 옳게 된 나라요 조또 모르는 것들이 꼭 비난하지,1
개돼지들은 모르겠지만 머한민국에도 저런거 다 있음 일반 서민들은 못하지만 일본은 일반인들도 가능하다는게 차이점일뿐,1
대가성 있는 접대가 문제지 저런 업소를 문제 삼을 이유는 없지 보지파는 가게도 멀쩡히 영업하는데,1
개씹구라 세트장이라도 갔나,1
이새낀 핀트도못잡노 누가 욕하지말라함? 너가 저능아라고 그냥,1
더 병신같은데 살면서 덜 병신인나라욕하는데 딱 저능아죠? ㅋ,1
5060 개ㅂㅅ 성범죄자 새끼들 ㅋㅋ,1
3년전 2조원 카드깡한 음식점이 씨발 음식을 팔았겠노,1
병신새끼들 꼴좋노 ㅋㅋ,1
보지가 뭐길래 그....챰,1
kt 도 화웨이쓴다 병신년아 ㅋㅋ skt 2300만 kt 1854만 lg 29만 병신새끼야,1
위에 이새끼들 뭐함? 누가 화웨이 얘기했음?,1
LG는 예전에 미군한테 존나게 쳐맞고 화웨이장비 계속 줄이는중이고 SKT는 유선장비 아직도 화웨이 존나게씀,1
행정지도? 뭐 어쩌라고 좆까라해라 ㅋㅋ,1
뭐가 과해 시발아 피해자 행세를 하고 있네. 그동안 그 많은 가입자들한테 폭리를 취했는데 그것도 담합으로,1
이걸 지들 기업 알아서 안하고 위에서 하라고 권고하네 에휴 ㅆㅂ. 가족결합된 새끼들 외에 이래도 SKT 계속 있는 능지 낮은 새끼들은 정말 안타까울 따름.,1
에휴 장인어른이 대통령이었으면 개돼지들 폰해킹따위 싹 다 덮어줬는데 진짜 빽 없어서 서러워 뒤지겠잖아 ㅋㅋㅋㅋㅋ,1
"과징금 해봤자 전체 매출액에서 3퍼센트.. 그것도 이번에 해킹당한거랑 관련 없는 매출은 제외 즉, 과징금 ㅈ도아니란거임..",1
국회에서 나랏밥쳐먹는 씨발녀나 도둑맞는 집에 뭘 따져물어 병신녀나,1
도둑부터 잡으라고 강력하게 외쳐봐 이씨발머저리같은년아,1
민주당원 입갤 ㄷㄷ 빨갱이 잘있누?,1
그냥 SKT터트리면 안됨? 개좆같은데,1
이거 썡까도 되는거임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
나랏일 하는 씨발새끼들 지들도 피해받으니까 빡세게하는거 보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뭔 일 터져서 일처리가 안된다 싶으면 대가리새끼들 피해보게 만들어야해,1
건물 진짜 ㅈ같이생겼노 ㄷ,1
skt 해체 안시키고 뭐하냐 이 씨발 좆같은 정부 개새끼들아 돈 얼마나 받아 처먹은거야?,1
공무원 부처 새끼들 대체 얼마나 쳐먹은건지 잔머리 하나는 진짜 잘굴린다,1
이 개새끼들은 이게 맞아. 알아서 여야 양당에 쳐맞을 각 나오고 있는데 제정신인 새끼들이면 지들이 알아서 신규 가입 일단 중단하고 이쪽으로 유심 전부 투입하겠다고 기사 내고 먼저 움직여야 하는 거 아님?,1
지금 좢되는건 신규가 아니라 번호이동 위약금(할부원금이든 통신요금할인든) 임.,1
"지금 분위기상 위약금 삭제하면 바로 KT LG 아가리 벌리고 기다릴텐데, 바로 수백만명 빠져나가고 좆되는거임.",1
고소할거라는말도 있던데 진짜 좆된듯,1
병신들 ㅋㅋㅋ 잔머리굴리다가 철퇴맞노,1
양파 감자 볶음밥에 후추뿌려먹으면 존맛인데,1
오므라이스에 양파볶은밥 안넣냐 병신들아 ㅋㅋ,1
볶음밥에 양파넣으면 좆노맛,1
볶음밥에 양파가 대존맛인데 그걸 안넣을거면 볶음밥 왜먹음ㅋㅋㅋㅋ,1
이건 또 뭔 개소리임? 케찹이나 뭔 짜장소스 오므라이스에 소스 올려먹는 그런 볶음밥이 아니라 보통 정통 계란 볶음밥에 양파는 진심으로 맛을 해치는 요손데?,1
칩 저새끼가 종팔이보다 병신 아닌가?ㅋㅋ,1
내가 넣어서 하면 하는거지 그걸 영상에서 보고 넣었다고 ㅈㄹ 또 다른거 안넣으면 안넣었다고 ㅈㄹ,1
진짜 ㄱㅂㅅㅅㄲ들 밖에 없네 니들이 먹는것도 아닌데 왜 ㅈㄹ인지 이해가 안감 그래놓고 뭐라하면,1
양파넣는거 개병신짓 맞긴한데 뭔 ㅋㅋ,1
양파는 조리방법에 따라 바리에이션이 ㄹㅇ 존나 많음,1
종팔이보다 병신새끼들이 까면 뭐함?,1
볶음밥 양파 넣으면 존나 맛있는데 울엄마가 맨날 그렇게 해줌 그래서 존나 이상했었는데 백종원이 한말이엿구나,1
애초에 요리 진짜로 좋아하는 놈들은 진작 뿌가 걸렀어 ㅋㅋㅋ 레시피부터 병신이라,1
개센징 병신새끼들 ㅋㅋㅋㅋㅋ,1
파로호 때 짱깨 죽이긴 했는더,1
간적으로 개보지창년들 퇴직금 줄돈있으면 병사들 인권침해부터 배상했어야함,1
ㅅㅂ 옛날생각나네 숙영하는데 자다가 경계근무하러 나갔는데 발 얼어서 군화 반대로 신은지도 몰랐음 자고 일어나서 눈치깜,1
조센징은 구라 선동이 패시브임 ㅋㅋㅋㅋㅋ,1
정신딸딸이가없으면 못사는 영퐁티 ㅋㅋ,1
병무청 요즘 존나 악랄하다는데? 장애있거나 심한 새끼들도 끌고간다고?,1
병무청 악랄해봣자 막상 군대가면 병신들한테 뭐 안시킴 ㅋㅋ 빠릿빠릿한 새끼들이 일 더 하지 걍,1
진짜 야매로 인원 수송하는 부대 새끼들 노답이네.,1
지랄 좃같으면 공익들이 그냥 입대하겠지 병신아 공익안가고 ㅋㅋ,1
지금생각해보면 가장미개하고 유치한곳이 군대더라 나이도얼마안먹은 개좆도아닌것들이 사람갈구고 괴롭히고 병신같은악폐습 아주 시발 ㅋ,1
불침번 이건 왜하는건지 존나이해안되긴함ㅋㅋ,1
쓰레기 짐승새끼들만 사는 나라 ㅋㅋㅋㅋ,1
이거 진짜 어린놈의 새끼인가??,1
씹새야 국민의 의무면 걍 싸닥치고 하는거지 뭔 시발 권리만 찾아먹고 의무는 안할려고하노 시발 ㅋㅋ,1
세금걷어가는것도 강제로 걷어가지만 그게 이 나라에서 살기위해선 해야하는 의무니까 하는거야 병신아 ㅋㅋ,1
강제징집이니 ㅈ같은논리다 ㅇㅈㄹ하는거보면 시발 ㅋㅋ,1
쯧쯧...개센징은 주제를 알고 대일본제국의 충실한 신민으로 살았어야 스스로도 행복했을텐데 ㅋㅋ,1
현실은 신민도 아니고 2급 천민 만도 못한 병신 취급 ㅋㅋㅋ,1
이상허다 좆대남새키들이 분명 역대급 꿀빤세대랫는디?,1
신검 때문에 유사의새 새끼들이 가라형식으로 검사해서 다 현역으로 넘겨 보내고 조뺑이 치는 동안 혹시라도 불구 되거나 죽으면 느그아들 ㅋㅋ,1
사건은 그저 뒤덮기 바쁘고 애국심은 존나게 강요함 ㅋㅋㅋ,1
그만큼 개개인 학벌대비 인권대접이 개쓰레기였던시절이니까,1
사람이 악마화되는거다 워낙 끔찍했던 기억이라 좆대남같이,1
저 부대가 개폐급일수도 있는데 98군번이면 한창 소원수리 자리잡을때라 저지랄 못할땐데 ?,1
아픈건 참은놈이 병신이고 지 밥그릇 지가 챙겨야지 뭘 눈치를봄,1
다행히 겨울이라 땀도 안나고 냄새도 덜해서 다행이었지 시발 ㅋㅋ,1
진짜 586은 나라구한다고 새빠지게 고생했네,1
어그래징병률 존나낮은 개날먹병신세대 ㅋㅋ,1
그래서 리짜이밍께서 저딴나라 멸망시키고 새나라 만드려고하잖아 2찍새끼드라,1
2000년대초에 병장월급이 12000원이였는데 개씹구라새끼야 ㅋㅋㅋ,1
좆팔륙 새끼들은 저런 군대 나오고 국뽕에 미쳐사는게 진짜 장애새끼들이 분명함,1
싱글벙글갤 병신들 싱글벙글갤 병신들 싱글벙글갤 병신들 ㅋㅋ,1
권한대행 자리가 가볍다 가벼워 ㅋㅋ 버러지새끼 에휴,1
그렇게 잘 알면서 별 병신 같은 사유로 국무위원들 줄탄핵 시켜놓고 헌재에서 싹다 기각 당하고,1
경제부총리는 대대행하기도 전에 탄핵한다고 지랄하는 개버러지 같은 새끼들,1
나라를 완전 씹창내놓네.......,1
친윤 허수아비인거 누구나 다 아는데 헛꿈꾸고 있네 ㅋㅋ 미친개틀딱,1
이런 새끼특)바이든은 존나게 빰,1
ㅈㄹ하네 바이든 치매 올거 예상한게 나임,1
걍 닥치고 한덕수로 가쟈. 누가되든 아수라다. 찢재명 한동훈 둘다 절대 안됨,1
곧 뒤질 노인네는 안됨 걍 닥치고 이준석으로 가면 됨,1
보수 새끼들 좆까라고 하고 이재명 찍는다.,1
목카 상황이 걍 존나 웃기노ㅋㅋㅋ,1
비리 잡는거 잘하면 걍 비리나계속 쳐 잡으라그래 이 개병신년아 ㅋㅋ,1
윤석열도 씨발 같은논리로 대통령세웠다가 아무것도 몰라서 문재인 반만큼 똥싸고 기어내려갔는데 저능아새끼야 ㅋㅋ,1
바퀴벌레 좆선족 짱깨들과 찢갈이 벌레 새끼들이 보기만해도 ㅂㄷㅂㄷ 개발작 하는 킹덕수 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
한동훈은 5분만에 명분과 실리로 이재명 좃바른다,1
친윤 조까,1
두창이는 뒤도 없이 좆빠가 깡이 있는데 넌 그게 없잖아 ㅋㅋ,1
시발새끼들 뭐 지들끼리 해쳐먹을생각만하니깐 뭐 어떻게 돌아가는지모르겠네,1
이러면 누가 니네를 뽑아주냐 이개등신같은새끼들아 이재명같이 확실한새끼가 오히려 잘먹히겠다,1
시발새끼들아 아 이런개병신같은새끼들진짜,1
저새끼 내란도 못막은 철밥통 앞가림 공무원 그 자체인데 누가 뽑음? 시발 경북괴새끼들은 다 쳐 돌았네,1
이대남 병신들아 살코에나 쳐박혀있지 여기서 이준스기 타령하고 있노?,1
"찢재명 이번 대선 토론에서는 또 무슨 ""원화 기축통화"" 같은 개소리를 해서 국민들을 웃겨줄지 기대됨",1
이새끼 내란 공범 새끼가 뭔 대통령을 한다는거냐??????,1
바위에서 밀어버리는게 푸쉬냐 이 푸씨새끼야,1
애미뒤진 한중마늘협상하던 한덕수?? 지랄을 하노 씨발 ㅋㅋ,1
윤석열 이병신때문에 이제 개나소나 하려고함 ㅋㅋ,1
윤석열 전부터 찢재명 같은 잡범 범죄자새끼도 대선 나오려고 했는데?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
맞음 두새끼 때문에 개나소나 하려고함,1
개나소나는 씨발 ㅋㅋㅋ 한덕수가 개나소로보이노?,1
진짜 인물이 없네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
상목이 똥 밟았노 ㅋㅋㅋㅋㅋ,1
보나마나 개석열이 뒤에서 움직였겠지,1
내란견 개털린거 개웃기노 ㅋㅋㅋㅋㅋ,1
병신 센덕수새끼 깝치고 있넼ㅋㅋㅋ,1
좌빨짱개들 양념 ㄷㄷㄷ,1
드루킹 우마오 짱깨부대 풀가동 가자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
짱깨련들 침투력보소,1
존나 웃기긴 하노 ㅋㅋㅋㅋㅋ 영화도 이따위로 만들면 욕처먹을듯 ㅋㅋㅋㅋ 전과 4범이 유력 후보에 지랄지랄 오만지랄이노 ㅋㅋㅋㅋㅋ,1
이 내란병신견새끼들아??ㅋㅋ,1
응 등신아 니가 말한 건 헌법을 바꿔야 되는거야 대통령 불소추은 헌법사항이거든 알아듣겠냐? 이 돌대가리 버러지새끼야?,1
니들이 그렇게 빨아대는 미국도 트럼프도 당선인신분에서 처벌안받았어 ㅋㅋㅋㅋ,1
하긴 씨발 김문수 같은 새끼 꺼내오는 당이 뭐 감이 있겠냐만 ㅋㅋㅋㅋ,1
아니 댓글들 시발 이게 개딸 대깨문 팬덤이지 어딜봐서 보수정당 후보 팬덤이노 ㅅㅂ ㅋㅋ,1
째메이 미친새끼 대장동 관련자들 죄다 살자 시키고도 말한마디를 못참아서 유죄받노 ㅋㅋㅋ,1
찢 84조해먹음? ㅅㅂ ㄷㄷㄷㄷ 2조해먹은 스트 회장보다 대단하노,1
"군이 따라주겠냐? 그 순간 바로 젊은층들 "" 미친 빨갱이 새끼들이 나라 뒤집는다 "" 하고,",1
군에서 반란모의하고 그러면 씨발 그 민주당 개버러지 새끼들이 늘 씨부리던 군부정권 들어서는거다.,1
"이번 윤석열 씹새가 한 계엄도 만약에 군이 "" 이 씨발 새끼들 좆 같네? "" 하고 싹 밀었으면",1
하지만 그래도 믿고 처찍는 뇌가없는 거의 간첩과 일체된 1찍이들과 노가다뛰는 못배운새끼들이랑 오팔육개딸들이 있죠?,1
그럼 ㅅㅍ 트럼프도 감옥 가냐?? ㅋㅋㅋㅋㅋㅋㅋㅋ,1
ㅄ 벌레 ㅅㄱ들은,1
한빠새끼 개역겹네 숟가락 얹을라고 ㅋㅋㅋ,1
니들 교주 찢재명이가 좆된 거다 이 등신 버러지 찢갈이새끼야,1
글 좆같이 못 쓰노,1
비대위원장일때 선거도 좆발려 뭘 이겨?,1
나 한가발 지지하는데 이런 식의 개병신좆같은 꼴값은 좀 안 떨어줬으면 좋겠다,1
도지한테 쳐발릴거 아니노?,1
충격오열줌 개좋아,1
등신아 니가 말한 건 헌법을 바꿔야 되는거야 대통령 불소추은 헌법사항이거든 알아듣겠냐? 이 돌대가리 버러지새끼야?,1
솔직히 국민의힘이 이재명 공격하는 건 진짜 감 다 뒤진 병신임,1
하긴 씨발 김문수 같은 새끼 꺼내오는 당이 뭐 감이 있겠냐만 ㅋㅋㅋㅋ,1
못배운티가 아니라 걍 재미로 저러는거다 은현장 공석에서 만나면 존나 깍듯한 사람임,1
ㅇㅈㄹ하네 좆병신인가 자기보가 아래인사람 한테 반말 찍찍하고 대놓고 표정 구기고 하대하는게 방송에 가끔씩 잡히는데 못배운티 안낸다 ㅇㅈㄹ 뿌슬람 새끼 ㅋㅋ,1
이새끼가 뿌가보단 훨씬 낫다,1
저새낀 백종원보다 더 비호감인데,1
저지능개돼지한테이유를묻지마,1
재밌는새끼네 이거,1
이때다 싶어 올려치기 존나 하네,1
둘다 개병신이야 장애인들아,1
은현장이 낫지 뿌슬람 병신새끼들아 ㅋㅋㅋ,1
우리나라 국회의원 맞나? 그냥 간첩 ㅅㄲ들인거 같은데,1
이게시발 나이 50 60들 쳐먹은 새끼들이 할짓이냐?,1
이새끼 청문회에서 경제로도 존나 털리더니 도망치넼,1
이새끼는 보지도 않았네 세수 결손으로 존나 털리고 말한마디 못하고 도망쳤는뎈ㅋ,1
탄핵한다고 난리치더니 관둔다니까 관둔다고 지랄 ㅋㅋㅋㅋㅋ,1
연금 받을려고 도망가는 최상목이. 존나 추하죠,1
탄핵 한 1000만명 하면 그다음은 나도 대통령 대리 쌉가능인가 하고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
교육 제대로 못받은 틀딱 새끼들 당이라는걸 인정하는거냐?ㅋㅋㅋㅋㅋ 역시 경상도 노인네당ㅋㅋㅋㅋㅋㅋ,1
일본은 싫어하는데 2천년간 한반도 침탈한 짱깨는 좋아하는거 보면 교육 문제인거같기도 함,1
유연납휘발유로 만든 매연 들이마시고 본드불던 세대라 멍청함이 짱깨 싸다구 후려갈김,1
또 탄핵하려고 한거야?ㅋㅋㅋ 민주당 진짜 미친새끼들이네,1
정신병자 1찍새끼들 발작중,1
디씨 2찍새끼들 ㅋㅋㅋㅋㅋㅋㅋ 아이큐 자체가없는건가 ㅋㅋㅋㅋ 어떻게 씹ㅋㅋㅋ 국짐ㅋㅋ씹ㅋㅋㅋ내란범들을 지지하놐,1
니애미 보지로뽄드빨고 후장으로 스캇장풍쏘는 세상에이런일이보지 무상홍어허벌창보지 씨발년 김대중 좆물탱크 애미디진 홍어틀딱 여관바리 씹창년아,1
니애미 보지로뽄드빨고 후장으로 스캇장풍쏘는 세상에이런일이보지 썩은춘장허벌창보지 씨발년 모택동 좆물탱크 애미디진 좆족보지 여관바리 씹창년아,1
내란은 민주다이지 시발련아 ㅋㅋㅋ,1
뭐 어쩌라고 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
중요인물들 다 탄핵해서 나라 개판 만드는게 목적인가? 민주당이 진짜 개쓉새끼들이지,1
진짜 지들 뜻대로 안되면 죄다 탄핵 쳐날라고 지랄났네 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
형수보지찢 정당 홍어 씨발년들 지랄하노,1
법원 출석통지받고 도망간 새끼도 있는데 상목햄 한테만 지랄이노 ㅋㅋㅋㅋ,1
살기좋은나라 개좇센,1
저새끼 한국경제에 숏치는 새끼잖아 ㅋㅋㅋ,1
보지가리개를 수영복이라 입은 거임?,1
엠병신 언제 해체시키냐? 아니면 세금지원 끊어라 기레기 총본산아니냐,1
미친빨갱이새끼들이 공정을 얘기하노ㅋㅋㅋㅋㅋㅋ,1
개 씹새끼 mbc는 확실히 조져야됨,1
백번양보해서 윤두창 관련은 그렇다치자ㅅㅂ 빨갱이들은 왜 빠는지 설명해봐라 1찍 개새끼들아,1
병신목록 1순위로 들어가야하는게 MBC 아니노?,1
살다 살다 별 꼴을 다보네 시발 ㅋㅋ,1
제일 언론같지도않은 새끼들이 ㅋㅋㅋ,1
